#      R               VQ1     
       2.565321        207.8701  
       2.574197        208.1251  
       2.582934        208.0661  
       2.591668        207.6870  
       2.600265        207.4340  
       2.609126        207.6886  
       2.617716        207.1154  
       2.626437        206.0459  
       2.635288        205.5402  
       2.643868        205.7867  
       2.652579        205.9669  
       2.661420        206.2909  
       2.670124        207.9410  
       2.678824        208.4009  
       2.687521        209.3408  
       2.696080        210.1567  
       2.704904        210.4102  
       2.713591        208.5398  
       2.722140        208.7854  
       2.730819        209.0347  
       2.739629        209.1278  
       2.748168        208.7031  
       2.756970        208.2660  
       2.765502        208.5112  
       2.774297        209.0138  
       2.782822        209.2587  
       2.791610        208.9412  
       2.800261        208.9897  
       2.808908        209.2382  
       2.817419        209.2227  
       2.826192        209.6247  
       2.834696        209.8690  
       2.843328        210.1171  
       2.852090        210.3888  
       2.860583        211.2328  
       2.869338        211.6043  
       2.877956        212.1319  
       2.886570        212.0994  
       2.895181        211.0067  
       2.903788        210.3540  
       2.912259        209.7874  
       2.920991        209.8582  
       2.929587        210.0252  
       2.938046        208.8982  
       2.946635        209.1450  
       2.955351        209.3354  
       2.963800        209.3381  
       2.972509        209.5883  
       2.980950        209.3208  
       2.989651        208.9608  
       2.998084        208.9231  
       3.006646        206.9791  
       3.015335        207.2287  
       3.023889        206.5144  
       3.032307        207.1663  
       3.040853        207.2318  
       3.049395        207.6572  
       3.057933        208.1225  
       3.066598        208.5415  
       3.075129        208.7865  
       3.083524        209.0277  
       3.092177        209.5063  
       3.100695        209.4210  
       3.109210        209.6656  
       3.117720        208.9701  
       3.126095        208.8008  
       3.134728        208.0888  
       3.143226        208.1029  
       3.151590        208.1132  
       3.160080        208.3571  
       3.168697        208.0047  
       3.177048        208.0446  
       3.185656        207.5319  
       3.194000        207.7716  
       3.202600        207.7287  
       3.210935        208.1082  
       3.219397        208.2713  
       3.227984        208.5780  
       3.236307        208.8171  
       3.244756        209.1698  
       3.253201        209.4124  
       3.261641        209.6549  
       3.270078        210.5673  
       3.278640        210.8133  
       3.287068        210.6354  
       3.295491        209.8874  
       3.303911        210.1293  
       3.312326        210.4111  
       3.320737        211.3227  
       3.329144        212.8042  
       3.337417        213.0619  
       3.345944        213.5369  
       3.354338        213.9180  
       3.362598        214.7054  
       3.370984        214.9463  
       3.379493        213.2307  
       3.387741        212.7677  
       3.396242        211.9319  
       3.404481        207.1786  
       3.412973        206.1726  
       3.421203        205.9290  
       3.429558        206.6491  
       3.438036        207.2626  
       3.446254        208.8787  
       3.454595        209.9884  
       3.462932        211.9679  
       3.471264        212.8973  
       3.479592        213.5465  
       3.488044        214.7493  
       3.496363        217.8483  
       3.504677        218.0872  
       3.512987        217.9759  
       3.521293        218.1545  
       3.529593        217.9430  
       3.537890        217.9714  
       3.546181        217.3296  
       3.554469        217.4677  
       3.562751        217.7056  
       3.570902        216.3898  
       3.579176        216.2375  
       3.587572        216.4787  
       3.595709        217.7725  
       3.604095        218.7434  
       3.612224        218.9769  
       3.620474        218.9640  
       3.628720        219.1109  
       3.636961        219.4376  
       3.645324        220.1579  
       3.653429        220.8707  
       3.661656        221.1071  
       3.669878        220.6533  
       3.678096        218.2094  
       3.686435        216.5490  
       3.694643        215.7348  
       3.702846        214.9705  
       3.711044        215.2060  
       3.719238        214.9214  
       3.727427        214.7967  
       3.735611        215.0318  
       3.743790        215.6068  
       3.751965        217.1716  
       3.760134        218.1463  
       3.768299        218.3809  
       3.776334        218.1217  
       3.784489        217.3260  
       3.792765        217.2838  
       3.800785        217.5142  
       3.809050        218.5916  
       3.817061        219.8518  
       3.825191        220.1554  
       3.833317        221.2388  
       3.841438        221.4721  
       3.849679        221.5989  
       3.857665        220.6683  
       3.865771        220.8312  
       3.873872        221.0639  
       3.881968        220.9565  
       3.890184        221.1926  
       3.898270        220.6349  
       3.906351        220.7070  
       3.914427        219.6990  
       3.922497        219.4709  
       3.930563        219.4926  
       3.938624        219.7242  
       3.946680        219.7856  
       3.954730        219.8869  
       3.962776        220.1181  
       3.970816        220.7491  
       3.978728        221.0964  
       3.986758        221.8171  
       3.994907        222.3312  
       4.002803        222.7180  
       4.010942        224.7619  
       4.018828        226.1584  
       4.026833        227.3384  
       4.034832        227.8282  
       4.042826        228.6179  
       4.050938        228.8509  
       4.058799        229.0768  
       4.066777        230.1260  
       4.074750        230.5550  
       4.082718        230.9240  
       4.090804        231.1562  
       4.098761        232.0648  
       4.106713        232.7933  
       4.114660        233.0216  
       4.122602        232.5698  
       4.130538        232.7978  
       4.138469        233.6456  
       4.146395        234.4333  
       4.154315        234.6609  
       4.162230        234.3683  
       4.170139        234.5955  
       4.177922        234.8391  
       4.185821        235.2060  
       4.193836        235.6363  
       4.201602        235.8594  
       4.209607        235.4594  
       4.217362        234.5822  
       4.225235        234.6884  
       4.233101        234.8943  
       4.240962        234.7302  
       4.248938        234.5594  
       4.256668        234.6414  
       4.264512        234.6168  
       4.272351        234.8420  
       4.280185        235.0670  
       4.288133        235.2254  
       4.295956        234.4401  
       4.303773        234.6647  
       4.311464        234.5557  
       4.319390        234.4434  
       4.327190        234.6275  
       4.334985        234.8914  
       4.342655        235.0718  
       4.350558        234.5788  
       4.358336        234.3223  
       4.366108        233.3256  
       4.373875        233.1387  
       4.381636        233.1717  
       4.389272        233.2611  
       4.397022        233.4437  
       4.404767        233.4962  
       4.412505        232.2085  
       4.420238        232.4107  
       4.427965        232.6327  
       4.435687        232.8545  
       4.443403        232.9462  
       4.451113        232.8577  
       4.458817        233.0790  
       4.466634        233.6636  
       4.474327        234.3146  
       4.482014        234.5955  
       4.489695        234.8161  
       4.497371        235.0367  
       4.505041        235.9170  
       4.512704        236.4872  
       4.520362        236.8372  
       4.528015        237.1170  
       4.535543        237.7733  
       4.543302        238.1662  
       4.550937        238.3856  
       4.558566        238.6048  
       4.566188        238.3038  
       4.573806        237.6926  
       4.581300        237.8879  
       4.588905        237.9664  
       4.596505        238.1847  
       4.604098        237.5129  
       4.611686        237.0309  
       4.619268        236.6987  
       4.626844        236.7963  
       4.634414        236.5338  
       4.641978        235.6011  
       4.649536        234.6383  
       4.657204        234.5786  
       4.664750        234.4754  
       4.672289        233.1820  
       4.679823        232.8184  
       4.687351        232.2547  
       4.694757        232.4675  
       4.702389        232.8467  
       4.709898        233.0625  
       4.717402        232.7880  
       4.724784        232.2001  
       4.732391        231.1387  
       4.739877        231.3537  
       4.747356        231.4186  
       4.754829        231.0833  
       4.762296        231.2978  
       4.769642        232.3289  
       4.777097        232.5430  
       4.784546        232.0670  
       4.791989        231.4509  
       4.799425        230.7045  
       4.806855        230.8380  
       4.814280        230.8813  
       4.821697        230.6144  
