# McGaugh 2019
#R in kpc. All other columns in km/s.
#R     Vbulge    Vgas	   Vdisk Vc
0.1015  90.6980  -0.7467   3.905  91.201
0.2030 126.6796  -1.4972   7.817 127.535
0.3045 147.2292  -2.2440  11.735 148.594
0.4061 160.5323  -3.0116  15.662 162.539
0.5076 169.5785  -3.7887  19.601 172.353
0.6091 175.7746  -4.5585  23.553 179.443
0.7106 179.9065  -5.3752  27.522 184.597
0.8122 182.4589  -6.2137  31.512 188.303
0.9137 183.7656  -7.0476  35.528 190.901
1.0152 184.0705  -7.9539  39.569 192.635
1.1167 183.5620  -8.8979  43.644 193.701
1.2183 182.3950  -9.9021  47.756 194.255
1.3198 180.6973 -11.0044  51.904 194.425
1.4213 178.5792 -12.2424  56.101 194.324
1.5228 176.1360 -13.7030  60.348 194.039
1.6244 173.4486 -15.6095  64.654 193.633
1.7259 170.5877 -19.2056  69.030 193.053
1.7705 169.2905 -21.0861  70.971 192.759
2.2416 155.2589  -7.8227  92.594 194.484
2.5096 147.7217 -15.0494 106.194 196.929
2.7858 140.6478 -18.4682 121.911 202.242
3.0538 134.5026 -21.5920 140.350 211.095
3.3218 129.0247 -22.5488 152.945 217.765
3.5736 124.4170 -21.0255 151.931 216.015
3.7929 120.7731 -20.5606 155.994 218.124
4.0528 116.8392 -20.5901 165.824 224.566
4.3046 113.3711 -17.9346 173.378 230.004
4.5401 110.3915 -12.8751 174.940 231.308
4.7594 107.8184 -11.1254 173.518 230.229
4.9706 105.5033 -10.4588 172.653 229.587
5.2062 103.0891  -6.3190 171.049 228.573
5.4254 100.9842   8.5769 169.953 228.099
5.6204  99.2176  12.4401 174.658 232.033
5.8234  97.4725  13.0879 180.340 236.678
6.0265  95.8164  11.6281 184.964 240.475
6.2052  94.4267  10.7614 189.010 243.886
6.3838  93.0958  12.0565 193.630 247.907
6.5463  91.9336  14.7470 194.328 248.890
6.7250  90.7040  17.4384 190.446 246.280
6.8874  89.6280  19.2727 188.508 245.169
7.0255  88.7429  19.8117 187.605 244.750
7.1636  87.8835  17.9085 187.215 244.547
7.2854  87.1456  11.5643 186.605 243.892
7.4153  86.3786 -11.3288 185.463 242.663
7.5209  85.7701 -17.4821 184.746 241.907
7.6184  85.2197 -19.4972 183.758 241.139
8.1220  82.5356   6.8038 171.560 233.299
8.5930  80.2414  30.1545 168.239 233.630
8.8448  79.0911  36.0633 166.932 234.042
9.6895  75.5651  32.8919 161.932 231.324
10.8185  71.5137  24.0797 156.185 227.804
11.8337  68.3773  36.8650 147.246 224.749
12.8814  65.5375  48.8248 139.524 223.546
13.9779  62.9145  56.8813 132.622 222.733
15.0094  60.7142  57.1388 126.868 220.290
16.2033  58.4346  59.9248 120.997 218.916
17.0643  56.9414  59.9402 117.226 217.501
17.6815  55.9387  58.8632 114.734 216.176
18.3719  54.8776  60.2457 112.127 215.856
19.1273  53.7831  59.9921 109.470 214.897
19.8420  52.8056  59.3930 107.135 213.933
20.5649  51.8692  58.4597 104.930 212.894
21.3202  50.9421  57.0573 102.770 211.683
22.3355  49.7708  56.2284 100.088 210.629
24.3660  47.6519  53.7207  95.333 208.397
26.3965  45.7825  51.2584  91.241 206.445
28.4270  44.1171  48.9138  87.664 204.725
30.4575  42.6212  46.7484  84.500 203.218
35.5337  39.4596  41.9888  77.927 200.117
40.6100  36.9110  38.3426  72.719 197.860
50.7625  33.0142  33.1393  64.863 194.819
60.9150  30.1377  29.8204  59.126 193.016
71.0675  27.9021  27.3924  54.693 191.796
81.2200  26.1000  25.4991  51.133 190.910
91.3725  24.6073  23.9633  48.190 190.236
101.5250  23.3446  22.6822  45.705 189.706
121.8300  21.3106  20.6464  41.708 188.925
152.2875  19.0608  18.4242  37.294 188.160
