#(Eilers A.-C., Hogg D. W., Rix H.-W. and Ness M. K. 2019 ApJ 871 120)
#test
#R     Vorig     Vc          errV    
5.270  226.83    224.0700    5.262
5.740  230.80    234.5440    5.059
6.230  231.20    241.9880    4.800
6.730  229.88    237.8440    3.646
7.220  229.61    247.5470    4.807
7.820  229.91    238.0750    3.153
8.190  228.86    230.4940    1.703
8.780  226.50    231.2520    2.254
9.270  226.20    232.2040   0.7200
9.760  225.94    231.7630   0.4200
10.26  225.68    230.8240   0.4400
10.75  224.73    229.2580   0.3800
11.25  224.02    227.1030   0.3300
11.75  223.86    226.9520   0.4000
12.25  222.23    225.3180   0.5100
12.74  220.77    223.8600   0.5400
13.23  220.92    224.0350   0.5700
13.74  217.47    220.5720   0.6400
14.24  217.31    220.4410   0.7700
14.74  217.60    220.7680   0.6500
15.22  217.07    220.2660    1.060
15.74  217.38    220.6200   0.8400
16.24  216.14    219.4060    1.200
16.74  212.52    215.7870    1.390
17.25  216.41    219.7650    1.440
17.75  213.70    217.0700    2.220
18.24  207.89    211.2400    1.760
18.74  209.60    213.0170    2.310
19.22  206.45    209.8790    2.540
19.71  201.91    205.3370    2.990
20.27  199.84    203.3010    3.150
20.78  198.14    201.6350    3.330
21.24  195.30    198.8110    5.990
21.80  213.67    217.4250    15.38
22.14  176.97    180.3570    28.58
22.73  193.11    196.7550    27.64
23.66  176.63    180.1880    18.67
24.82  198.42    202.3320    6.500
